description,directors,last_updated,link,name,number,prereq,website
"Introduction to elementary concepts in algorithms and classical data structures with a focus on their applications in Data Science. Topics include algorithm analysis (ex: Big-O notation), elementary data structures (ex: lists, stacks, queues, trees, and graphs), basics of discrete algorithm design principles (ex: greedy, divide and conquer, dynamic programming), and discussion of discrete and continuous optimization. Course Information: Credit is not given for both CS 277 and CS 225. Prerequisite: STAT 207; one of MATH 220, MATH 221, MATH 234. CS 277 cannot be taken concurrently with CS 225.",[{'Brad R Solomon': 'https://cs.illinois.edu/about/people/all-faculty/bradsol'}],,https://cs.illinois.edu/academics/courses/CS277,Algo & Data Stru for Data Sci,CS 277,Credit in CS 225 Credit in CS 233 ,https://courses.grainger.illinois.edu/cs277/fa2021/
"Analysis of algorithms, major paradigms of algorithm design including recursive algorithms, divide-and-conquer algorithms, dynamic programming, greedy algorithms, and graph algorithms. Formal models of computation including finite automata and Turing machines. Limitations of computation arising from fundamental notions of algorithm and from complexity-theoretic constraints. Reductions, undecidability and NP-completeness. Course Information: Same as ECE 374. Prerequisite: One of CS 173, MATH 213; CS 225.","[{'Chandra Sekhar Chekuri': 'https://cs.illinois.edu/about/people/all-faculty/chekuri', 'Jeff G Erickson': 'https://cs.illinois.edu/about/people/all-faculty/jeffe'}]",3/26/2019by Elsa  Gunter,https://cs.illinois.edu/academics/courses/CS374,Intro to Algs & Models of Comp,CS 374,Credit in CS 101  or CS 105  or CS 124  or CS 125  or ECE 220 Credit in ASRM 406  or MATH 225  or MATH 257  or MATH 415  or MATH 416 Credit in MATH 241 ,https://courses.engr.illinois.edu/cs374/
Intensive programming lab intended to strengthen skills in programming. Course Information: Prerequisite: CS 241.,[{'Michael Joseph Woodley': 'https://cs.illinois.edu/about/people/all-faculty/mwoodley'}],3/11/2019by Michael Joseph Woodley,https://cs.illinois.edu/academics/courses/CS242,Programming Studio,CS 242,,
"Basics of computer systems. Number representations, assembly/machine language, abstract models of processors (fetch/execute, memory hierarchy), processes/process control, simple memory management, file I/O and directories, network programming, usage of cloud services. Course Information: Prerequisite: CS 225.",[{'Wade A Fagen-Ulmschneider': 'https://cs.illinois.edu/about/people/all-faculty/waf'}],,https://cs.illinois.edu/academics/courses/CS240,Intro to Computer Systems,CS 240,Credit in CS 173  or MATH 213  or MATH 347  or MATH 412  or MATH 413 Credit in CS 125  or CS 128  or ECE 220 ,https://courses.grainger.illinois.edu/cs240/
"Fundamentals of computer architecture: digital logic design, working up from the logic gate level to understand the function of a simple computer; machine-level programming to understand implementation of high-level languages; performance models of modern computer architectures to enable performance optimization of software; hardware primitives for parallelism and security. Course Information: Prerequisite: CS 125 or CS 128 and CS 173; credit or concurrent enrollment in CS 225.","[{'Geoffrey Lindsay Herman': 'https://cs.illinois.edu/about/people/all-faculty/glherman', 'Craig   Zilles': 'https://cs.illinois.edu/about/people/all-faculty/zilles'}]",4/1/2019by Geoffrey Lindsay Herman,https://cs.illinois.edu/academics/courses/CS233,Computer Architecture,CS 233,Credit in CS 128 Credit or concurrent registration in CS 225 ,https://courses.grainger.illinois.edu/cs233/fa2021/index.html
"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. Course Information: Credit is not given for both CS 241 and ECE 391. Prerequisite: CS 225 and CS 233. Class Schedule Information: Students must register for one lecture and one discussion section.",[{'Lawrence Christopher Angrave': 'https://cs.illinois.edu/about/people/all-faculty/angrave'}],5/10/2019by Lawrence Angrave,https://cs.illinois.edu/academics/courses/CS241,System Programming,CS 241,Credit in CS 125  or CS 128 Credit in CS 173  or MATH 213 Credit or concurrent registration in CS 225 ,https://cs241.cs.illinois.edu/
"Design and implementation of novel software solutions. Problem identification and definition; idea generation and evaluation; and software implementation, testing, and deployment. Emphasizes software development best practices?including framework selection, code review, documentation, appropriate library usage, project management, continuous integration and testing, and teamwork. Course Information: Prerequisite: CS 128; credit or concurrent registration in CS 225. Restricted to majors in Computer Science undergraduate curricula only.",[{'Michael Joseph Woodley': 'https://cs.illinois.edu/about/people/all-faculty/mwoodley'}],,https://cs.illinois.edu/academics/courses/CS222,Software Design Lab,CS 222,Credit in CS 225 ,
"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. Course Information: Prerequisite: CS 125 or ECE 220; One of CS 173, MATH 213, MATH 347, MATH 412 or MATH 413.  Class Schedule Information: Students must register for one lecture-discussion and one lecture section.","[{'Graham Carl Evans': 'https://cs.illinois.edu/about/people/all-faculty/gcevans', 'Wade A Fagen-Ulmschneider': 'https://cs.illinois.edu/about/people/all-faculty/waf'}]",3/10/2019,https://cs.illinois.edu/academics/courses/CS225,Data Structures,CS 225,,https://courses.grainger.illinois.edu/cs225/
"Navigating the complex ethical and professional landscape of the computing professional: privacy, intellectual property, cybersecurity, and freedom of speech. Hands-on exercises, assignments, and discussions in which students analyze current events from perspectives in both philosophical and professional ethics. Writing professionally and technically in several writing assignments requiring peer review, workshops, and multiple rounds of editing and revising. Course Information: Credit is not given for both CS 211 and CS 210 or ECE 316. Prerequisite: CS 225.",[{'Ryan Matthew Cunningham': 'https://cs.illinois.edu/about/people/all-faculty/rcunnin2'}],,https://cs.illinois.edu/academics/courses/CS211,Ethical & Professional Conduct,CS 211,,https://canvas.illinois.edu/courses/14574
"Ethics for the computing profession. Ethical decision-making; licensing; intellectual property, freedom of information, and privacy. Course Information: Credit is not given for both CS 210 and either CS 211 or ECE 316. Prerequisite: CS 225. Junior standing required.",[{'Ryan Matthew Cunningham': 'https://cs.illinois.edu/about/people/all-faculty/rcunnin2'}],2/4/2019by Ryan Matthew Cunningham,https://cs.illinois.edu/academics/courses/CS210,Ethical & Professional Issues,CS 210,,https://canvas.illinois.edu/courses/14573
Topics vary. Course Information: Approved for Letter and S/U grading. May be repeated.,[{}],,https://cs.illinois.edu/academics/courses/CS199,CA Training,CS 199,Credit in MATH 220  or MATH 221 Credit in CS 124  or CS 125  or ECE 220 ,
Continuation of CS 124. More advanced concepts in computing and techniques and approaches for solving computational problems. Course Information: Prerequisite: CS 124 or CS 125.,[{'Michael   Nowak': 'https://cs.illinois.edu/about/people/all-faculty/mnowak1'}],,https://cs.illinois.edu/academics/courses/CS128,Intro to Computer Science II,CS 128,,https://cs128.org/
Offered for honors credit in conjunction with other 100-level computer science courses taken concurrently. A special examination may be required for admission to this course. Course Information: May be repeated. Prerequisite: Concurrent registration in another 100-level computer science course (see Schedule).,[{}],,https://cs.illinois.edu/academics/courses/CS196,CS 124 Freshman Honors,CS 196,Credit in CS 124 ,
"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Course Information: Credit is not given for both CS 173 and MATH 213. Prerequisite: One of CS 124, CS 125, ECE 220; one of MATH 220, MATH 221.","[{'Benjamin Leverett Cosman': 'https://cs.illinois.edu/about/people/all-faculty/bcosman', 'Margaret M Fleck': 'https://cs.illinois.edu/about/people/all-faculty/mfleck'}]",2/3/2019by Margaret M. Fleck,https://cs.illinois.edu/academics/courses/CS173,Discrete Structures,CS 173,,https://courses.grainger.illinois.edu/cs173/fa2021/ALL-lectures/
Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. Course Information: Credit is not given for both CS 124 and CS 125. Prerequisite: Three years of high school mathematics or MATH 112.,[{'Geoffrey Werner Challen': 'https://cs.illinois.edu/about/people/all-faculty/challen'}],,https://cs.illinois.edu/academics/courses/CS124,Intro to Computer Science I,CS 124,,https://www.cs124.org/
Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. Course Information: Credit is not given for both CS 125 and CS 124. Prerequisite: Three years of high school mathematics or MATH 112. Class Schedule Information: Students must register for one lab-discussion and one lecture section. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.,"[{'Lawrence Christopher Angrave': 'https://cs.illinois.edu/about/people/all-faculty/angrave', 'Geoffrey Werner Challen': 'https://cs.illinois.edu/about/people/all-faculty/challen'}]",3/21/2019by Geoffrey Werner Challen,https://cs.illinois.edu/academics/courses/CS125,Intro to Computer Science,CS 125,,https://cs125.cs.illinois.edu/
